ID	adj.P.Val	P.Value	t	B	logFC	Gene	Gene.title
8996	8.80E-19	2.24E-23	18.7438085	42.70154	3.4436343	CMTM3	CKLF like MARVEL transmembrane domain containing 3
16625	8.80E-19	6.84E-23	18.2427846	41.63719	6.4964852	NDC80	"NDC80, kinetochore complex component"
9748	8.80E-19	7.82E-23	-18.1836489	41.50989	-2.7671914	CAMKK2	calcium/calmodulin dependent protein kinase kinase 2
33268	8.80E-19	7.82E-23	18.1835736	41.50973	7.2036866	NCAPG	non-SMC condensin I complex subunit G
7905	2.66E-18	2.96E-22	-17.6016756	40.23784	-2.9649774		
41070	3.85E-18	5.13E-22	-17.3648867	39.71008	-4.4318854	SNCG	synuclein gamma
39433	4.64E-18	7.22E-22	-17.2194917	39.38304	-4.5678117	MYADML2	myeloid associated differentiation marker like 2
24143	1.08E-17	1.93E-21	-16.8053722	38.43893	-2.3113033	C1orf216	chromosome 1 open reading frame 216
18527	1.30E-17	2.60E-21	16.6813637	38.15252	4.3681307	WEE1	WEE1 G2 checkpoint kinase
8545	1.36E-17	3.02E-21	16.6193007	38.00854	6.2191278	CEP55	centrosomal protein 55
12189	4.98E-17	1.23E-20	16.0431473	36.65104	6.9128781	BIRC5	baculoviral IAP repeat containing 5
8243	4.98E-17	1.34E-20	-16.0109439	36.57404	-4.2184471	5-Sep	septin 5
21277	4.98E-17	1.44E-20	15.9806595	36.50152	6.7842363	BIRC5	baculoviral IAP repeat containing 5
19129	7.63E-17	2.37E-20	-15.7800127	36.01832	-5.2919682	MCHR2	melanin concentrating hormone receptor 2
10389	8.84E-17	2.97E-20	15.6900051	35.80002	6.7836081	BIRC5	baculoviral IAP repeat containing 5
20929	8.84E-17	3.14E-20	-15.6682538	35.74713	-2.4640055	MAP2K4	mitogen-activated protein kinase kinase 4
42591	1.87E-16	7.32E-20	15.3345345	34.92848	4.8634834	IGFBP2	insulin like growth factor binding protein 2
21467	1.87E-16	7.48E-20	15.3262208	34.90792	7.7220264	PBK	PDZ binding kinase
21855	2.01E-16	8.47E-20	15.2775185	34.78728	6.6922012	RRM2	ribonucleotide reductase regulatory subunit M2
34008	3.76E-16	1.83E-19	14.9788972	34.04128	6.4337863	BIRC5	baculoviral IAP repeat containing 5
28938	3.76E-16	1.88E-19	14.9680443	34.01396	6.474363	BIRC5	baculoviral IAP repeat containing 5
39036	3.76E-16	1.91E-19	-14.9619496	33.99862	-3.2613934		
30653	3.76E-16	1.92E-19	14.9597846	33.99316	6.4422868	BIRC5	baculoviral IAP repeat containing 5
34232	3.96E-16	2.11E-19	-14.923098	33.90068	-4.794903		
33234	4.01E-16	2.31E-19	14.8889218	33.81437	6.366663	BIRC5	baculoviral IAP repeat containing 5
29056	4.01E-16	2.38E-19	14.8765842	33.78318	6.3755583	BIRC5	baculoviral IAP repeat containing 5
36067	4.01E-16	2.41E-19	14.8729841	33.77407	6.3151673	BIRC5	baculoviral IAP repeat containing 5
21075	4.03E-16	2.55E-19	14.8504311	33.71699	7.6612677	TOP2A	topoisomerase (DNA) II alpha
7884	4.03E-16	2.59E-19	-14.8443195	33.70151	-3.0633056	FAM131A	family with sequence similarity 131 member A
5751	4.49E-16	2.99E-19	-14.7894316	33.5623	-1.9034386	ATXN7L3	ataxin 7 like 3
4073	6.04E-16	4.16E-19	-14.6641812	33.24321	-4.8897302	SLC26A4-AS1	SLC26A4 antisense RNA 1
15797	6.60E-16	4.69E-19	14.6182344	33.12567	6.3216955	BIRC5	baculoviral IAP repeat containing 5
14387	1.29E-15	9.63E-19	-14.3471218	32.42671	-3.8140711	NCDN	neurochondrin
8158	1.29E-15	9.73E-19	-14.3433255	32.41686	-5.4892178	RFPL2	ret finger protein like 2
32986	1.78E-15	1.38E-18	14.2113159	32.07309	2.1625951	GNAI3	G protein subunit alpha i3
20054	2.42E-15	1.94E-18	-14.0851607	31.7425	-4.3188159	5-Sep	septin 5
7074	2.42E-15	1.99E-18	14.0762722	31.71913	6.9564521	DLGAP5	DLG associated protein 5
20695	2.46E-15	2.08E-18	14.0610243	31.67902	6.5886432	FAM64A	family with sequence similarity 64 member A
32081	4.48E-15	3.88E-18	-13.8307571	31.06962	-4.9390808	DDN	dendrin
31672	4.54E-15	4.03E-18	-13.8166991	31.0322	-3.0337095	CALM3	calmodulin 3
30914	7.06E-15	6.43E-18	13.6463673	30.57669	5.7414629	CD44	CD44 molecule (Indian blood group)
11421	8.76E-15	8.26E-18	13.5555046	30.33216	6.0468461	KIF20A	kinesin family member 20A
8857	8.76E-15	8.37E-18	-13.5505817	30.31888	-3.2900239	FBXW7	F-box and WD repeat domain containing 7
21337	9.08E-15	8.87E-18	13.5295206	30.26204	4.3500417	PLEKHA4	pleckstrin homology domain containing A4
16095	9.89E-15	9.89E-18	13.490395	30.15627	6.489405	CDCA2	cell division cycle associated 2
19325	9.91E-15	1.01E-17	-13.4817488	30.13288	-2.3909402	C2CD2L	C2CD2 like
28984	1.02E-14	1.09E-17	-13.4559235	30.06293	-3.8388173	CAMKK2	calcium/calmodulin dependent protein kinase kinase 2
18697	1.02E-14	1.09E-17	13.4558982	30.06286	5.8987409	CD44	CD44 molecule (Indian blood group)
1074	1.07E-14	1.16E-17	13.4329912	30.00074	5.9063188	CD44	CD44 molecule (Indian blood group)
38388	1.09E-14	1.21E-17	13.4168282	29.95687	5.8979833	CD44	CD44 molecule (Indian blood group)
108	1.13E-14	1.28E-17	-13.398687	29.90759	-4.9852722	C1orf115	chromosome 1 open reading frame 115
24624	1.18E-14	1.38E-17	13.3692682	29.82758	5.8365106	BUB1	BUB1 mitotic checkpoint serine/threonine kinase
6048	1.18E-14	1.39E-17	13.3680653	29.82431	1.8089116	CMTM6	CKLF like MARVEL transmembrane domain containing 6
5994	1.20E-14	1.47E-17	-13.3478482	29.76926	-3.6421066	KCNH3	potassium voltage-gated channel subfamily H member 3
32563	1.20E-14	1.49E-17	13.3436309	29.75777	6.0871118	F2R	coagulation factor II thrombin receptor
13115	1.20E-14	1.49E-17	13.3421064	29.75361	5.8868153	KIF20A	kinesin family member 20A
8640	1.21E-14	1.53E-17	13.3341204	29.73184	2.4862738	VIM	vimentin
16384	1.21E-14	1.57E-17	13.3238497	29.70384	5.823261	TNC	tenascin C
39065	1.21E-14	1.59E-17	13.3192727	29.69135	5.7223859	CD44	CD44 molecule (Indian blood group)
10285	1.22E-14	1.62E-17	13.3120421	29.67162	5.7479233	CD44	CD44 molecule (Indian blood group)
10090	1.26E-14	1.74E-17	-13.2881991	29.60651	-3.9281818	MAST3	microtubule associated serine/threonine kinase 3
32944	1.26E-14	1.74E-17	13.2871692	29.6037	2.4433006	ELAVL1	ELAV like RNA binding protein 1
4397	1.37E-14	1.94E-17	-13.2488618	29.49893	-4.356226	FBXO40	F-box protein 40
