ID	adj.P.Val	P.Value	t	B	logFC	Gene	Gene.title
GI_4585642-S	3.22E-28	3.81E-32	13.03088	62.18542	0.927442	ZNF264	zinc finger protein 264
GI_24308166-S	1.06E-26	2.50E-30	-12.56048	58.07587	-0.8621487	SVOP	SV2 related protein
GI_27734844-S	1.47E-25	5.22E-29	-12.21428	55.089	-0.7854055	ZDHHC23	zinc finger DHHC-type containing 23
GI_34577121-S	2.21E-25	1.05E-28	12.13437	54.4044	0.498998	NFKB1	nuclear factor kappa B subunit 1
GI_7706261-S	5.68E-24	3.36E-27	-11.73345	50.99872	-0.8890858	ATP6V1H	ATPase H+ transporting V1 subunit H
GI_31377840-S	7.34E-24	5.21E-27	11.68227	50.56759	0.7693563	FAM63A	family with sequence similarity 63 member A
GI_13376557-S	1.03E-23	8.50E-27	11.62501	50.08622	0.9527153		
GI_14150038-S	5.91E-23	5.60E-26	-11.40367	48.23578	-0.6921362	SGIP1	SH3 domain GRB2 like endophilin interacting protein 1
GI_29126235-S	1.58E-22	1.70E-25	-11.27222	47.14468	-1.0023772		
GI_44917603-S	1.58E-22	1.87E-25	11.26073	47.04963	0.942387	SRGAP1	SLIT-ROBO Rho GTPase activating protein 1
GI_13376477-S	2.67E-22	3.47E-25	11.18728	46.4429	0.9693579		
GI_9624970-S	2.72E-22	3.87E-25	11.17455	46.33795	0.9734838	C21orf62	chromosome 21 open reading frame 62
GI_32306514-S	6.15E-22	9.46E-25	11.06772	45.45938	0.6809328	HSPB2	heat shock protein family B (small) member 2
GI_30089918-A	1.11E-21	1.84E-24	10.98798	44.80631	0.3428282	POLDIP3	DNA polymerase delta interacting protein 3
GI_19923550-S	1.13E-21	2.01E-24	-10.97749	44.72059	-0.6266373	LANCL2	LanC like 2
GI_32261315-S	1.23E-21	2.47E-24	10.95233	44.51517	0.7862375	ZNF665	zinc finger protein 665
GI_4758939-S	1.23E-21	2.48E-24	-10.95192	44.5118	-0.5712518	C14orf2	chromosome 14 open reading frame 2
GI_24308523-S	2.38E-21	5.08E-24	-10.86568	43.8093	-0.2850101	TMEM9	transmembrane protein 9
GI_31341469-S	3.48E-21	7.94E-24	-10.81161	43.37035	-0.4572187	KCTD13	potassium channel tetramerization domain containing 13
GI_34335274-A	3.48E-21	8.23E-24	10.8073	43.3354	0.8123857		
GI_17402889-A	4.17E-21	1.04E-23	-10.77952	43.11028	-0.8898721		
GI_7657541-S	4.34E-21	1.13E-23	10.76894	43.02462	0.8666899	SCN11A	sodium voltage-gated channel alpha subunit 11
GI_11056009-S	1.01E-20	2.80E-23	10.65862	42.13422	0.8577263	PBOV1	prostate and breast cancer overexpressed 1
GI_37552185-S	1.01E-20	2.86E-23	10.65601	42.11323	0.7330081		
GI_21361950-S	1.15E-20	3.40E-23	10.635	41.94422	0.7531398	WDR82	WD repeat domain 82
GI_8922870-S	2.83E-20	8.90E-23	10.51703	40.99846	0.6598447	OLAH	oleoyl-ACP hydrolase
