ID	adj.P.Val	P.Value	t	B	logFC	Gene	Gene.title
ILMN_1679045	7.94E-09	6.39E-13	-8.1024912	18.72073	-0.744786	SBDS	SBDS ribosome assembly guanine nucleotide exchange factor
ILMN_1651286	9.19E-09	1.48E-12	7.9417729	17.9352	1.1654353	GRHL1	grainyhead like transcription factor 1
ILMN_1810387	3.15E-08	1.00E-11	-7.5724114	16.14561	-0.4598898	PLAA	phospholipase A2 activating protein
ILMN_1702407	3.15E-08	1.01E-11	7.5695432	16.13181	0.4800645	SPIN1	spindlin 1
ILMN_1791466	3.49E-08	1.41E-11	-7.5058274	15.82561	-1.0798752		
ILMN_1695877	7.63E-07	3.68E-10	-6.858963	12.76649	-0.5052514	SNRPE	small nuclear ribonucleoprotein polypeptide E
ILMN_1719996	8.88E-07	5.00E-10	-6.7972153	12.47978	-0.7392986	ZMAT1	zinc finger matrin-type 1
ILMN_1775677	2.80E-06	1.81E-09	-6.5357964	11.27771	-0.4468383	TYSND1	trypsin domain containing 1
ILMN_1792385	4.01E-06	2.90E-09	-6.4379715	10.83305	-0.57816	TTC32	tetratricopeptide repeat domain 32
ILMN_1663646	7.78E-06	6.26E-09	-6.2783661	10.11403	-0.5382598	DMXL1	Dmx like 1
ILMN_1661039	8.73E-06	7.73E-09	-6.2342732	9.91686	-0.7529361	MRPL30	mitochondrial ribosomal protein L30
ILMN_1745423	1.28E-05	1.23E-08	-6.1363053	9.48113	-0.4436968	UTP3	"UTP3, small subunit processome component homolog (S. cerevisiae)"
ILMN_1688959	2.21E-05	2.48E-08	5.9874224	8.82538	0.7718019	CD27	CD27 molecule
ILMN_1654942	2.21E-05	2.49E-08	5.9868829	8.82302	0.4976926	NFIC	nuclear factor I C
ILMN_1725739	2.67E-05	3.34E-08	5.9238151	8.54768	0.822635	TNRC6B	trinucleotide repeat containing 6B
ILMN_1707156	2.67E-05	3.44E-08	-5.9180044	8.52239	-0.4458847	LRRFIP2	LRR binding FLII interacting protein 2
ILMN_1758299	3.22E-05	4.40E-08	5.8647179	8.29102	0.8105162		
ILMN_1671725	5.00E-05	7.50E-08	5.7493219	7.79374	0.7719849	REPIN1	replication initiator 1
ILMN_1734696	5.00E-05	7.65E-08	-5.7447981	7.77435	-0.343766	FRG1	FSHD region gene 1
ILMN_1657790	5.20E-05	8.37E-08	-5.7253429	7.69106	-0.5217361	SRSF11	serine and arginine rich splicing factor 11
ILMN_1791536	5.38E-05	9.12E-08	-5.706513	7.61059	-0.3767206	BTAF1	B-TFIID TATA-box binding protein associated factor 1
ILMN_1654761	5.38E-05	9.53E-08	-5.6969445	7.56975	-0.6026109	KATNA1	katanin catalytic subunit A1
ILMN_1653228	5.78E-05	1.07E-07	5.6715326	7.46148	1.354867	C3orf22	chromosome 3 open reading frame 22
ILMN_1651642	6.45E-05	1.25E-07	-5.6379922	7.31898	-0.656594	GPC2	glypican 2
ILMN_1668446	6.70E-05	1.35E-07	-5.6205866	7.24521	-0.560691	ABCA9	ATP binding cassette subfamily A member 9
ILMN_1695985	7.33E-05	1.57E-07	-5.587163	7.1039	-0.4804096	OAZ2	ornithine decarboxylase antizyme 2
ILMN_1803742	7.33E-05	1.59E-07	-5.5840325	7.09069	-0.7340541	CAPZA1	capping actin protein of muscle Z-line alpha subunit 1
ILMN_1674337	7.63E-05	1.76E-07	-5.5612866	6.99482	-0.5850674	FKBP2	FK506 binding protein 2
ILMN_1743187	7.63E-05	1.78E-07	-5.5592821	6.98639	-0.4742588	C6orf120	chromosome 6 open reading frame 120
ILMN_1736068	8.16E-05	1.97E-07	-5.5369019	6.89229	-0.4488291	CNOT8	CCR4-NOT transcription complex subunit 8
ILMN_1702943	8.36E-05	2.09E-07	5.5242786	6.83931	0.627545	DLK2	delta like non-canonical Notch ligand 2
ILMN_1728810	8.73E-05	2.25E-07	5.5073866	6.76852	0.3741478	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1
ILMN_1787844	9.05E-05	2.59E-07	-5.4764061	6.63901	-0.5744285	MYDGF	myeloid derived growth factor
ILMN_1785661	9.05E-05	2.60E-07	-5.4754589	6.63506	-0.6383294	ABHD17B	abhydrolase domain containing 17B
ILMN_1716740	9.05E-05	2.60E-07	-5.4752596	6.63423	-0.8616757	RPL27A	ribosomal protein L27a
ILMN_1720266	9.05E-05	2.62E-07	-5.4731478	6.62541	-0.7207244		
ILMN_1729019	1.00E-04	2.98E-07	-5.4443847	6.50558	-0.5987635	7-Sep	septin 7
ILMN_1782222	1.12E-04	3.41E-07	-5.4143124	6.38069	-0.5731599	KIAA1033	KIAA1033
ILMN_1807649	1.23E-04	3.86E-07	-5.3865453	6.26572	-0.5685222	SPOPL	speckle type BTB/POZ protein like
ILMN_1768913	1.23E-04	4.06E-07	-5.3751337	6.21856	-0.6104435	TSN	translin
ILMN_1806099	1.23E-04	4.06E-07	5.3750913	6.21839	0.9956112	RXFP4	relaxin/insulin like family peptide receptor 4
ILMN_1675626	1.28E-04	4.34E-07	-5.3599778	6.15603	-0.3919884		
ILMN_1781231	1.42E-04	4.93E-07	5.3311846	6.03752	0.3289997	SLC25A38	solute carrier family 25 member 38
ILMN_1743532	1.47E-04	5.19E-07	5.3194086	5.98915	0.5199432		
ILMN_1654561	1.53E-04	5.56E-07	-5.304076	5.92628	-0.6062241	KHDRBS1	"KH RNA binding domain containing, signal transduction associated 1"
ILMN_1808554	1.58E-04	5.84E-07	-5.2927871	5.88005	-0.4399634	TARSL2	threonyl-tRNA synthetase like 2
ILMN_1792712	1.60E-04	6.06E-07	-5.2842489	5.84513	-0.6676861	C4orf46	chromosome 4 open reading frame 46
ILMN_1731442	1.61E-04	6.21E-07	-5.2787949	5.82284	-0.3041905	BCKDHA	"branched chain keto acid dehydrogenase E1, alpha polypeptide"
ILMN_1803813	1.62E-04	6.39E-07	-5.2722373	5.79605	-0.4017252	ASTE1	asteroid homolog 1 (Drosophila)
ILMN_1666966	1.69E-04	6.79E-07	5.2582613	5.73904	0.7758657	INS	insulin
ILMN_1781764	1.72E-04	7.08E-07	-5.2488002	5.70049	-0.6204773	HNRNPH2	heterogeneous nuclear ribonucleoprotein H2 (H')
ILMN_1811313	1.85E-04	7.73E-07	5.2287494	5.61893	0.9770405	SLIT3	slit guidance ligand 3
ILMN_1759987	1.89E-04	8.06E-07	5.2190616	5.5796	0.7574476	HS6ST1	heparan sulfate 6-O-sulfotransferase 1
ILMN_1698772	2.11E-04	9.18E-07	5.1893261	5.45913	0.6858668	KRT6B	keratin 6B
ILMN_1664619	2.21E-04	9.81E-07	-5.1741491	5.3978	-0.4796799	DCUN1D4	defective in cullin neddylation 1 domain containing 4
ILMN_1693896	2.22E-04	1.00E-06	5.1689718	5.37691	0.9648762	ATP8A2	ATPase phospholipid transporting 8A2
ILMN_1687057	2.54E-04	1.17E-06	-5.1334926	5.23406	-0.4991898	RBM7	RNA binding motif protein 7
ILMN_1685431	2.54E-04	1.19E-06	5.1300537	5.22024	0.6538417	DZIP1	DAZ interacting zinc finger protein 1
ILMN_1736741	2.59E-04	1.23E-06	5.1219409	5.18768	0.4821559	RASSF8	Ras association domain family member 8
ILMN_1772880	2.62E-04	1.27E-06	-5.1150007	5.15984	-0.5407852	UTP11	"UTP11, small subunit processome component homolog (S. cerevisiae)"
ILMN_1657697	2.66E-04	1.31E-06	-5.1077301	5.13071	-0.3180612	SAR1A	secretion associated Ras related GTPase 1A
ILMN_1654037	2.82E-04	1.41E-06	-5.0907419	5.06273	-0.547991	PPIE	peptidylprolyl isomerase E
ILMN_1725896	2.86E-04	1.47E-06	5.0809376	5.02356	0.5788425	AMIGO2	adhesion molecule with Ig like domain 2
ILMN_1734231	2.86E-04	1.48E-06	-5.0794744	5.01772	-0.5066966	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
ILMN_1702034	2.87E-04	1.50E-06	-5.0756015	5.00226	-0.2361833	PEX3	peroxisomal biogenesis factor 3
ILMN_1724699	2.98E-04	1.58E-06	-5.0629273	4.95173	-0.7640538	ACAD8	acyl-CoA dehydrogenase family member 8
ILMN_1669118	3.13E-04	1.69E-06	5.0479162	4.89199	0.5430202	FUNDC2	FUN14 domain containing 2
ILMN_1755115	3.16E-04	1.73E-06	-5.0428179	4.87172	-0.4617729	RPL23	ribosomal protein L23
ILMN_1778319	3.17E-04	1.76E-06	5.0386788	4.85527	0.5757151	DMKN	dermokine
ILMN_1758474	3.25E-04	1.83E-06	-5.0288001	4.81606	-0.2876681	PRKRA	protein activator of interferon induced protein kinase EIF2AK2
ILMN_1758087	3.32E-04	1.90E-06	5.0208373	4.78449	0.3850534	TAOK1	TAO kinase 1
ILMN_1811363	3.48E-04	2.02E-06	-5.006355	4.72714	-0.4238045	NOVA1	NOVA alternative splicing regulator 1
ILMN_1685012	3.60E-04	2.11E-06	-4.9953766	4.68374	-0.3606869	EAF1	ELL associated factor 1
ILMN_1728341	3.69E-04	2.22E-06	4.9839867	4.63877	0.551843	BRD4	bromodomain containing 4
ILMN_1684197	3.69E-04	2.23E-06	-4.9828698	4.63437	-0.2869726	GPKOW	G-patch domain and KOW motifs
ILMN_1755318	3.72E-04	2.28E-06	4.9781575	4.61579	0.9084891	HIST1H2AJ	"histone cluster 1, H2aj"
ILMN_1752954	3.78E-04	2.34E-06	-4.9712609	4.58861	-0.3455069	EMC1	ER membrane protein complex subunit 1
ILMN_1674072	4.25E-04	2.67E-06	4.9406285	4.4682	0.5573727	RBAK	RB associated KRAB zinc finger
ILMN_1736939	4.25E-04	2.70E-06	4.9374584	4.45576	0.4719551	UGCG	UDP-glucose ceramide glucosyltransferase
ILMN_1791990	4.31E-04	2.79E-06	-4.9298555	4.42596	-0.5931162	EML2	echinoderm microtubule associated protein like 2
ILMN_1727600	4.31E-04	2.81E-06	4.9284262	4.42036	0.5150002		
ILMN_1716421	5.03E-04	3.36E-06	4.8862436	4.25558	0.4945055	ADRA1D	adrenoceptor alpha 1D
ILMN_1760271	5.03E-04	3.37E-06	-4.8853858	4.25223	-0.4564564	ZBTB41	zinc finger and BTB domain containing 41
ILMN_1770051	5.03E-04	3.43E-06	-4.8807569	4.23421	-0.5176635	MIGA1	mitoguardin 1
ILMN_1795639	5.03E-04	3.44E-06	-4.8802345	4.23217	-0.4785693	MGMT	O-6-methylguanine-DNA methyltransferase
ILMN_1732909	5.75E-04	3.98E-06	-4.8453718	4.09678	-0.5526856	ZNF483	zinc finger protein 483
ILMN_1660270	5.80E-04	4.06E-06	-4.840716	4.07874	-0.4201759	CCZ1B	"CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated"
ILMN_1751214	5.80E-04	4.12E-06	-4.8370523	4.06456	-0.3892363	STARD3NL	STARD3 N-terminal like
ILMN_1672947	5.80E-04	4.16E-06	-4.8351694	4.05727	-0.6614308		
ILMN_1759954	5.82E-04	4.22E-06	-4.8316684	4.04373	-0.6721077	PTMA	"prothymosin, alpha"
ILMN_1708304	6.13E-04	4.49E-06	4.8166937	3.98587	0.6739222	C11orf16	chromosome 11 open reading frame 16
ILMN_1797594	6.29E-04	4.66E-06	4.8076221	3.95088	0.4210985	NFAT5	nuclear factor of activated T-cells 5
ILMN_1759419	6.36E-04	4.80E-06	-4.8006132	3.92387	-0.2687927	ILVBL	ilvB acetolactate synthase like
ILMN_1666618	6.36E-04	4.82E-06	-4.7997437	3.92052	-0.4494595	RHNO1	RAD9-HUS1-RAD1 interacting nuclear orphan 1
ILMN_1678831	6.39E-04	4.88E-06	4.796354	3.90747	0.5297133	GCC2	GRIP and coiled-coil domain containing 2
ILMN_1745110	6.61E-04	5.11E-06	-4.7854382	3.86548	-0.2946404	LAPTM4A	lysosomal protein transmembrane 4 alpha
ILMN_1741059	6.90E-04	5.39E-06	4.772465	3.81566	0.7329544	SCN1A	sodium voltage-gated channel alpha subunit 1
ILMN_1719423	6.90E-04	5.45E-06	-4.770104	3.80661	-0.4838684	SNRNP35	small nuclear ribonucleoprotein U11/U12 subunit 35
ILMN_1694177	6.90E-04	5.50E-06	-4.7677712	3.79766	-0.3846922	PCNA	proliferating cell nuclear antigen
ILMN_1700220	7.03E-04	5.66E-06	-4.7608818	3.77126	-0.6069786	ATAD5	"ATPase family, AAA domain containing 5"
ILMN_1678808	7.35E-04	5.98E-06	-4.7475527	3.72025	-0.2619599	ATG14	autophagy related 14
ILMN_1685796	7.54E-04	6.19E-06	-4.7390901	3.68791	-0.4151608	CSDE1	cold shock domain containing E1
ILMN_1757723	7.64E-04	6.34E-06	4.7334091	3.66622	0.6920458	C6orf106	chromosome 6 open reading frame 106
ILMN_1786139	8.19E-04	6.85E-06	-4.7144528	3.59398	-0.4627002	VKORC1	vitamin K epoxide reductase complex subunit 1
ILMN_1663593	8.23E-04	6.98E-06	-4.7098857	3.5766	-0.3377018	TFB1M	"transcription factor B1, mitochondrial"
ILMN_1782076	8.23E-04	7.02E-06	4.708548	3.57151	0.5533145	EPHA3	EPH receptor A3
ILMN_1683120	8.46E-04	7.31E-06	-4.6988249	3.53456	-0.5360917	UNG	uracil DNA glycosylase
ILMN_1810901	8.46E-04	7.36E-06	-4.6971455	3.52819	-0.4549002	RNASEH2A	ribonuclease H2 subunit A
ILMN_1769702	8.48E-04	7.44E-06	-4.6943225	3.51747	-0.317481	GPAA1	glycosylphosphatidylinositol anchor attachment 1
ILMN_1812701	8.65E-04	7.68E-06	-4.6866147	3.48823	-0.5329142	C4orf33	chromosome 4 open reading frame 33
ILMN_1745079	8.65E-04	7.73E-06	-4.6852398	3.48302	-0.3167403	TRIM2	tripartite motif containing 2
ILMN_1809439	8.89E-04	8.01E-06	-4.6763985	3.44953	-0.375322		
ILMN_1813307	9.19E-04	8.36E-06	4.6659467	3.40999	0.5513427	C1QTNF2	C1q and tumor necrosis factor related protein 2
ILMN_1751016	9.54E-04	8.79E-06	4.65369	3.36371	0.7383678	LONRF2	LON peptidase N-terminal domain and ring finger 2
ILMN_1786707	9.54E-04	8.83E-06	-4.6525412	3.35937	-0.6210964	EMC10	ER membrane protein complex subunit 10
ILMN_1700847	9.60E-04	8.96E-06	-4.6488869	3.34559	-0.4895139	PMS1	"PMS1 homolog 1, mismatch repair system component"
ILMN_1663313	9.69E-04	9.13E-06	-4.6444287	3.32878	-0.4541089	AMY1C	"amylase, alpha 1C (salivary)"
ILMN_1815292	1.04E-03	9.88E-06	-4.625115	3.25611	-0.3619221	RPL7	ribosomal protein L7
ILMN_1736972	1.04E-03	1.01E-05	-4.6205935	3.23912	-0.4963323	GKAP1	G kinase anchoring protein 1
ILMN_1772817	1.04E-03	1.01E-05	4.6201626	3.2375	0.4878657	TAB1	TGF-beta activated kinase 1 (MAP3K7) binding protein 1
ILMN_1778951	1.09E-03	1.07E-05	-4.6056103	3.18292	-0.2727407	C6orf203	chromosome 6 open reading frame 203
ILMN_1714222	1.09E-03	1.07E-05	4.6053124	3.1818	0.7138036	C1orf105	chromosome 1 open reading frame 105
ILMN_1744986	1.10E-03	1.10E-05	-4.5991175	3.1586	-0.4577499	ZNF350	zinc finger protein 350
ILMN_1742827	1.10E-03	1.10E-05	-4.5989252	3.15788	-0.207171	EXOC4	exocyst complex component 4
ILMN_1653867	1.27E-03	1.29E-05	-4.559843	3.012	-0.6469608	ZNF483	zinc finger protein 483
ILMN_1805696	1.27E-03	1.29E-05	4.558449	3.00681	0.3505772	DFFA	DNA fragmentation factor subunit alpha
ILMN_1781047	1.27E-03	1.29E-05	-4.5583829	3.00657	-0.3505013	FRMD8	FERM domain containing 8
ILMN_1812769	1.27E-03	1.31E-05	-4.5557097	2.99662	-0.2001902	UBXN1	UBX domain protein 1
ILMN_1670769	1.34E-03	1.39E-05	-4.5405625	2.94035	-0.5305621	CENPQ	centromere protein Q
ILMN_1813585	1.36E-03	1.43E-05	4.5342667	2.91699	0.8105844	FEZF1	FEZ family zinc finger 1
ILMN_1685845	1.36E-03	1.44E-05	4.5321636	2.9092	0.5751574	POLDIP3	DNA polymerase delta interacting protein 3
ILMN_1772329	1.38E-03	1.46E-05	-4.5279834	2.89371	-0.3161731	LRRFIP2	LRR binding FLII interacting protein 2
ILMN_1756860	1.38E-03	1.47E-05	-4.5259709	2.88626	-0.4148697	TXNL1	thioredoxin like 1
ILMN_1738424	1.43E-03	1.54E-05	-4.5143479	2.84326	-0.376917	CDC42	cell division cycle 42
ILMN_1666111	1.43E-03	1.56E-05	-4.5119176	2.83427	-0.5517078	YTHDC1	YTH domain containing 1
ILMN_1696716	1.44E-03	1.58E-05	-4.5093921	2.82494	-0.3972316		
ILMN_1781630	1.44E-03	1.58E-05	-4.5080344	2.81993	-0.307171	SIVA1	SIVA1 apoptosis inducing factor
ILMN_1724959	1.45E-03	1.61E-05	4.5033498	2.80264	0.2086535	SEC31A	"SEC31 homolog A, COPII coat complex component"
ILMN_1719468	1.51E-03	1.69E-05	-4.4918923	2.76039	-0.5269944	EPM2A	"epilepsy, progressive myoclonus type 2A, Lafora disease (laforin)"
ILMN_1758542	1.54E-03	1.73E-05	4.4852995	2.73612	0.4197159		
ILMN_1738384	1.55E-03	1.76E-05	4.4819146	2.72367	0.185216	KIAA0100	KIAA0100
ILMN_1739192	1.59E-03	1.82E-05	-4.473784	2.69378	-0.5624221	SPAG16	sperm associated antigen 16
ILMN_1807357	1.66E-03	1.91E-05	-4.4605626	2.64526	-0.2818762	NHLRC3	NHL repeat containing 3
ILMN_1785266	1.69E-03	1.96E-05	-4.4543998	2.62268	-0.4902665	OFD1	"OFD1, centriole and centriolar satellite protein"
ILMN_1655165	1.72E-03	2.01E-05	-4.4478714	2.59878	-0.3316752	RNF138	ring finger protein 138
ILMN_1665376	1.77E-03	2.08E-05	-4.4400704	2.57026	-0.3106643	VCP	valosin containing protein
ILMN_1658015	1.77E-03	2.10E-05	-4.4373436	2.56029	-0.3971481	MBNL2	muscleblind like splicing regulator 2
ILMN_1675331	1.77E-03	2.11E-05	4.4361392	2.55589	0.4139532	PEG3	paternally expressed 3
ILMN_1807379	1.80E-03	2.17E-05	4.4293571	2.53114	0.3813112	WHSC1L1	Wolf-Hirschhorn syndrome candidate 1-like 1
ILMN_1777139	1.80E-03	2.17E-05	-4.4284309	2.52776	-0.3008358	MAK16	MAK16 homolog
ILMN_1731889	1.81E-03	2.20E-05	-4.4256703	2.51769	-0.3925589	ZFYVE21	zinc finger FYVE-type containing 21
ILMN_1695902	1.82E-03	2.23E-05	-4.4220619	2.50454	-0.4342534	ZFP1	ZFP1 zinc finger protein
ILMN_1779095	1.86E-03	2.29E-05	4.4158151	2.48179	0.7923203	CEBPE	CCAAT/enhancer binding protein epsilon
ILMN_1720442	1.87E-03	2.31E-05	-4.4126346	2.47021	-0.3044896	NCBP2	nuclear cap binding protein subunit 2
ILMN_1763730	1.87E-03	2.33E-05	-4.4110727	2.46453	-0.2248916	APPL1	"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1"
ILMN_1707958	1.89E-03	2.37E-05	4.4062335	2.44693	0.8340049	AES	amino-terminal enhancer of split
ILMN_1680109	1.95E-03	2.46E-05	4.3969907	2.41336	0.305958	COL4A3BP	collagen type IV alpha 3 binding protein
ILMN_1752566	1.97E-03	2.51E-05	-4.3918832	2.39483	-0.3821154	PTGES3	prostaglandin E synthase 3
ILMN_1776347	1.98E-03	2.54E-05	-4.38941	2.38586	-0.2956153	TCP1	t-complex 1
ILMN_1784512	2.08E-03	2.69E-05	-4.374177	2.33071	-0.27315	NR2C2AP	nuclear receptor 2C2 associated protein
ILMN_1658207	2.08E-03	2.70E-05	4.3734141	2.32795	0.5159284		
ILMN_1671516	2.15E-03	2.80E-05	-4.3640387	2.29407	-0.1932012	CIR1	"corepressor interacting with RBPJ, 1"
ILMN_1692390	2.24E-03	2.94E-05	4.3518361	2.25006	0.466855	CCNT1	cyclin T1
ILMN_1726175	2.27E-03	2.99E-05	4.3471679	2.23325	0.5368879	ITGAX	integrin subunit alpha X
ILMN_1783852	2.27E-03	3.01E-05	-4.3457088	2.22799	-0.6986185	CD164	CD164 molecule
ILMN_1699179	2.27E-03	3.03E-05	4.3441452	2.22236	0.5586448	BPTF	bromodomain PHD finger transcription factor
ILMN_1768850	2.30E-03	3.10E-05	-4.3383577	2.20155	-0.5543352		
ILMN_1657405	2.30E-03	3.12E-05	-4.3363566	2.19435	-0.3163428	SPPL3	signal peptide peptidase like 3
ILMN_1777725	2.30E-03	3.13E-05	4.3359606	2.19293	0.5466324	LSM14B	LSM family member 14B
ILMN_1692133	2.31E-03	3.16E-05	-4.3334287	2.18383	-0.4326414	ZNF226	zinc finger protein 226
ILMN_1774063	2.31E-03	3.18E-05	4.3317708	2.17788	0.3874099	EDEM3	ER degradation enhancing alpha-mannosidase like protein 3
ILMN_1751839	2.34E-03	3.23E-05	4.3273109	2.16186	0.4636154	RUNX3	runt related transcription factor 3
