ID	adj.P.Val	P.Value	t	B	logFC	Gene	Gene.title
ILMN_1753426	2.00E-16	4.74E-21	10.6130674	37.1658928	3.35E-01	KIAA0556	KIAA0556
ILMN_2264625	2.83E-16	1.42E-20	10.4510028	36.0946774	4.87E-01	NIPBL	"NIPBL, cohesin loading factor"
ILMN_1678494	2.83E-16	2.01E-20	10.3994503	35.7548389	2.38E-01	ZNF438	zinc finger protein 438
ILMN_1708537	3.50E-16	3.32E-20	10.3250946	35.265487	5.39E-01	RBPJ	recombination signal binding protein for immunoglobulin kappa J region
ILMN_2151048	3.91E-16	4.64E-20	10.2752182	34.9377857	3.29E-01	STAG1	stromal antigen 1
ILMN_1663195	4.20E-16	7.60E-20	10.2017516	34.4559125	7.74E-01	MCM7	minichromosome maintenance complex component 7
ILMN_2299612	4.20E-16	7.62E-20	10.2014274	34.4537878	5.04E-01	TMEM150A	transmembrane protein 150A
ILMN_1755234	4.20E-16	7.97E-20	10.1946991	34.4097069	4.30E-01	SSH3	slingshot protein phosphatase 3
ILMN_2179018	7.89E-16	1.68E-19	-10.0829846	33.6790448	-5.49E-01	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1
ILMN_2160764	8.98E-16	2.13E-19	10.0477986	33.4494107	4.13E-01	HBP1	HMG-box transcription factor 1
ILMN_1891857	1.57E-15	4.09E-19	-9.9500549	32.8127979	-5.62E-01	RAB2A	"RAB2A, member RAS oncogene family"
ILMN_1714965	3.02E-15	8.60E-19	9.8380985	32.0860193	4.48E-01	NFKB1	nuclear factor kappa B subunit 1
ILMN_1774387	4.34E-15	1.44E-18	9.7603331	31.5827594	6.23E-01	ZHX3	zinc fingers and homeoboxes 3
ILMN_1673232	4.34E-15	1.44E-18	9.7602003	31.5819009	6.86E-01	CERS1	ceramide synthase 1
ILMN_1749838	5.33E-15	1.99E-18	9.7113362	31.2663518	3.33E-01	MZF1	myeloid zinc finger 1
ILMN_1773154	5.33E-15	2.02E-18	9.7088574	31.2503586	8.21E-01	NFKBIA	NFKB inhibitor alpha
ILMN_1703650	5.48E-15	2.21E-18	9.6957102	31.1655559	4.02E-01	TNIP1	TNFAIP3 interacting protein 1
ILMN_1804652	5.84E-15	2.49E-18	9.6773247	31.0470292	5.07E-01	PLEKHH3	"pleckstrin homology, MyTH4 and FERM domain containing H3"
ILMN_1705442	7.93E-15	3.57E-18	9.6226823	30.6952145	5.88E-01	CMTM3	CKLF like MARVEL transmembrane domain containing 3
ILMN_1670881	1.31E-14	6.20E-18	9.5389334	30.1573315	7.25E-01	CHST6	carbohydrate sulfotransferase 6
ILMN_1742330	1.43E-14	7.12E-18	9.5178337	30.0220767	8.92E-01	PLXNB1	plexin B1
ILMN_1724544	1.98E-14	1.04E-17	9.4607112	29.6564376	2.94E-01	PPP4R1	protein phosphatase 4 regulatory subunit 1
ILMN_1800390	2.15E-14	1.17E-17	9.4420004	29.5368418	3.49E-01	ZNF511	zinc finger protein 511
ILMN_1784447	2.64E-14	1.60E-17	9.3941356	29.2312878	4.02E-01	PLCE1	phospholipase C epsilon 1
ILMN_1655612	2.64E-14	1.64E-17	9.390217	29.2062978	7.32E-01	ARRDC2	arrestin domain containing 2
ILMN_1786024	2.64E-14	1.69E-17	9.386049	29.1797214	5.69E-01	POLR3H	RNA polymerase III subunit H
ILMN_1756669	2.64E-14	1.69E-17	9.3855988	29.1768508	4.81E-01	POGK	pogo transposable element with KRAB domain
ILMN_1747303	2.69E-14	1.83E-17	9.3733771	29.0989478	4.82E-01	DDX39A	DEAD-box helicase 39A
ILMN_1813489	2.69E-14	1.85E-17	9.3718761	29.0893829	2.92E-01	RAF1	"Raf-1 proto-oncogene, serine/threonine kinase"
ILMN_1815319	3.07E-14	2.20E-17	9.3454323	28.9209633	3.13E-01	CMTM4	CKLF like MARVEL transmembrane domain containing 4
ILMN_2194828	3.07E-14	2.26E-17	9.3414743	28.8957699	4.59E-01	PAGR1	PAXIP1 associated glutamate rich protein 1
ILMN_1757660	3.14E-14	2.44E-17	9.3297464	28.8211432	8.26E-01	CAPS	calcyphosine
ILMN_1772233	3.14E-14	2.47E-17	9.3275103	28.8069187	3.05E-01	ARAP1	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1"
ILMN_2373779	3.14E-14	2.53E-17	-9.3237518	28.783012	-4.82E-01	COPS8	COP9 signalosome subunit 8
ILMN_1757781	3.14E-14	2.61E-17	9.3192844	28.754601	4.09E-01	SAP30L	SAP30 like
ILMN_1720710	3.40E-14	2.97E-17	-9.2991656	28.6267162	-6.34E-01	HSPB3	heat shock protein family B (small) member 3
ILMN_1801934	3.40E-14	3.01E-17	9.2974277	28.615674	3.19E-01	SERTAD3	SERTA domain containing 3
ILMN_1715416	3.40E-14	3.07E-17	9.2943319	28.5960063	2.55E-01	NUP188	nucleoporin 188
ILMN_1775330	4.03E-14	3.72E-17	9.2645424	28.4068761	8.02E-01	C15orf52	chromosome 15 open reading frame 52
ILMN_1728071	4.09E-14	3.93E-17	-9.2561992	28.3539473	-3.69E-01	KRAS	"KRAS proto-oncogene, GTPase"
ILMN_2356672	4.09E-14	3.98E-17	9.2543885	28.3424622	2.32E-01	EIF2B4	eukaryotic translation initiation factor 2B subunit delta
ILMN_2333319	4.13E-14	4.22E-17	9.2452917	28.284777	5.91E-01		
ILMN_1773307	4.13E-14	4.30E-17	-9.2423496	28.2661251	-9.93E-01	NAP1L5	nucleosome assembly protein 1 like 5
ILMN_3272378	4.13E-14	4.30E-17	9.2421697	28.2649851	7.33E-01	EZR	ezrin
ILMN_1749799	4.20E-14	4.48E-17	9.2361195	28.2266359	3.74E-01	HMGN5	high mobility group nucleosome binding domain 5
ILMN_1716552	4.33E-14	4.72E-17	9.227981	28.1750654	4.71E-01	ENAH	enabled homolog (Drosophila)
ILMN_1689445	4.59E-14	5.12E-17	9.2155663	28.0964311	3.36E-01	POLR2H	RNA polymerase II subunit H
ILMN_1654468	4.70E-14	5.35E-17	-9.2086399	28.0525773	-2.73E-01		
ILMN_1773623	4.71E-14	5.49E-17	9.2047544	28.0279823	2.89E-01	HSD17B1	hydroxysteroid 17-beta dehydrogenase 1
ILMN_1779401	4.71E-14	5.59E-17	-9.2019359	28.0101435	-4.97E-01	CHP1	calcineurin like EF-hand protein 1
ILMN_2404665	5.47E-14	6.61E-17	9.1760467	27.8463855	1.90E-01	TRIM5	tripartite motif containing 5
