ID	adj.P.Val	P.Value	t	B	logFC	Gene	Gene.title
A_23_P139864	0.0000338	9.57E-10	-6.3844987	11.6867414	-1.306781	GSG1	germ cell associated 1
A_32_P102111	0.0000338	2.02E-09	-6.2489552	11.0002337	-1.4400532		
A_23_P31755	0.0000338	2.46E-09	-6.212241	10.8160239	-3.6486231	CRH	corticotropin releasing hormone
A_32_P40272	0.0001276	1.24E-08	-5.9099413	9.3282795	-1.5644205	RORA-AS1	RORA antisense RNA 1
A_24_P132518	0.0003897	5.10E-08	5.6372202	8.0320444	1.1867338	IKBKB	"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta"
A_23_P140277	0.0003897	6.16E-08	5.5999658	7.8584718	2.6565812	SYNE2	spectrin repeat containing nuclear envelope protein 2
A_23_P335905	0.0003897	6.64E-08	5.5852008	7.7899161	1.7789428	STK36	serine/threonine kinase 36
A_23_P76799	0.0004273	8.44E-08	5.5374725	7.5692324	1.9330602	BAZ1A	bromodomain adjacent to zinc finger domain 1A
A_32_P8813	0.0004273	9.66E-08	5.5106266	7.4457266	1.8307931	LINC00926	long intergenic non-protein coding RNA 926
A_32_P164573	0.0004273	1.04E-07	5.4959469	7.3783821	3.3733793		
A_24_P246926	0.0005266	1.41E-07	-5.4349045	7.0997959	-1.9004447	CORT	cortistatin
A_24_P181998	0.0005452	1.79E-07	5.3861691	6.8790676	1.4402017	GUSBP11	"glucuronidase, beta pseudogene 11"
A_24_P307759	0.0005452	1.89E-07	5.3759186	6.8328341	2.8735185	SYNE2	spectrin repeat containing nuclear envelope protein 2
A_24_P592544	0.0005452	1.95E-07	5.3692471	6.8027792	3.0339		
A_23_P53724	0.0005452	1.99E-07	-5.3650601	6.7839315	-1.4047474	CLSTN3	calsyntenin 3
A_24_P91165	0.0005701	2.22E-07	-5.3428096	6.6839588	-1.4744353	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1
A_32_P43878	0.0006393	2.64E-07	5.307003	6.5237452	3.1286836		
A_32_P161751	0.0006596	2.89E-07	-5.2888459	6.442818	-1.9166409	FLJ33534	uncharacterized LOC285150
A_23_P59268	0.0007018	3.55E-07	-5.2464362	6.2546269	-1.2192125	RANBP9	RAN binding protein 9
A_24_P373877	0.0007018	3.57E-07	-5.2452081	6.2491946	-1.2013879	SYT5	synaptotagmin 5
A_23_P61140	0.0007018	3.59E-07	-5.2443016	6.2451859	-1.4142957	RGS14	regulator of G-protein signaling 14
A_23_P65208	0.0007209	4.02E-07	5.2205827	6.1404769	1.0451845	ZMYM5	zinc finger MYM-type containing 5
A_23_P336954	0.0007209	4.08E-07	-5.2175765	6.1272318	-1.7451876	SLC8A2	solute carrier family 8 member A2
A_32_P102627	0.0007209	4.21E-07	5.2110416	6.0984603	3.4805977		
A_23_P165608	0.0007323	4.75E-07	-5.1860027	5.9884789	-1.046423	SEMA4F	ssemaphorin 4F
A_24_P324814	0.0007323	5.01E-07	5.1750419	5.9404635	1.6232219	CEP95	centrosomal protein 95
A_24_P170753	0.0007323	5.13E-07	5.1699311	5.9181022	1.1928752		
A_24_P935682	0.0007323	5.33E-07	5.161765	5.8824081	3.83278		
A_32_P104478	0.0007323	5.34E-07	-5.161374	5.8807002	-1.6166949	FGD6	"FYVE, RhoGEF and PH domain containing 6"
A_32_P119197	0.0007323	5.37E-07	-5.1602126	5.8756279	-1.0198226	TPM3	tropomyosin 3
A_23_P210319	0.0007323	5.85E-07	-5.1423587	5.7977598	-1.2832711	DTNB	dystrobrevin beta
A_24_P916453	0.0007323	5.99E-07	-5.1374542	5.7764063	-1.1473302		
A_24_P190190	0.0007323	6.00E-07	-5.1369263	5.7741087	-1.4259465	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1
A_23_P123393	0.0007323	6.17E-07	-5.1311081	5.7487996	-0.9044759	KCNQ3	potassium voltage-gated channel subfamily Q member 3
A_23_P213562	0.0007323	6.24E-07	5.1289634	5.7394758	3.4182727	F2R	coagulation factor II thrombin receptor
A_23_P320250	0.000773	6.95E-07	5.1060288	5.6399611	1.5801788	MYO19	myosin XIX
A_24_P205008	0.000773	6.96E-07	5.1058744	5.6392926	1.9806459		
A_24_P335781	0.0007781	7.20E-07	-5.0988468	5.6088696	-2.044052	ADCYAP1	adenylate cyclase activating polypeptide 1
A_32_P197156	0.0008575	8.14E-07	-5.0728322	5.4965377	-1.4284337	DLGAP1-AS4	DLGAP1 antisense RNA 4
A_23_P256021	0.0009534	9.28E-07	5.044952	5.3766506	1.0862476	LAS1L	"LAS1 like, ribosome biogenesis factor"
A_32_P88987	0.0009969	1.00E-06	5.0291359	5.3088711	2.7917385		
A_32_P923011	0.0009969	1.02E-06	5.0250556	5.2914123	1.2468337	FAM138A	family with sequence similarity 138 member A
A_24_P409800	0.0010048	1.07E-06	-5.0150027	5.2484456	-3.3962729	KCTD16	potassium channel tetramerization domain containing 16
A_23_P41204	0.0010048	1.08E-06	-5.0134398	5.2417717	-1.7184453	FAM131A	family with sequence similarity 131 member A
A_24_P403244	0.0010228	1.12E-06	5.0048456	5.2051027	1.8947404	PILRB	paired immunoglobin-like type 2 receptor beta
A_23_P111766	0.0010335	1.16E-06	-4.9979042	5.1755217	-1.5644562		
A_32_P190294	0.0010627	1.26E-06	4.9795447	5.0974391	1.3450588	GUSBP1	"glucuronidase, beta pseudogene 1"
A_24_P491087	0.0010627	1.29E-06	4.9740298	5.0740286	2.522843	CCT6P1	chaperonin containing TCP1 subunit 6 pseudogene 1
A_23_P303317	0.0010627	1.29E-06	4.9737953	5.0730339	1.2144554	ZXDC	ZXD family zinc finger C
A_23_P364428	0.0010627	1.31E-06	-4.9704386	5.0587955	-1.0073948	CAMK1G	calcium/calmodulin dependent protein kinase IG
A_23_P66180	0.0010627	1.32E-06	-4.9697794	5.0559998	-1.4667935	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3
A_23_P65918	0.0011017	1.39E-06	-4.9578587	5.005502	-3.0901042	ITPKA	inositol-trisphosphate 3-kinase A
A_23_P125505	0.0011869	1.53E-06	-4.9376784	4.9202342	-1.7381755	PPEF1	protein phosphatase with EF-hand domain 1
A_24_P178631	0.0012327	1.62E-06	4.9254396	4.8686566	2.8562813		
A_24_P697437	0.0012568	1.68E-06	4.9171294	4.833693	2.6873696		
A_23_P19829	0.0012568	1.71E-06	4.9133616	4.8178562	1.7660511	PILRB	paired immunoglobin-like type 2 receptor beta
A_24_P3804	0.0013275	1.90E-06	4.8909977	4.724056	1.9406073	SAPCD1	suppressor APC domain containing 1
A_24_P92183	0.0013275	1.90E-06	4.8904968	4.721959	2.0720212	PABPC1L	poly(A) binding protein cytoplasmic 1 like
A_23_P38041	0.0013275	1.91E-06	-4.8901389	4.7204607	-1.0448186	NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
A_23_P103454	0.001337	1.99E-06	4.8806465	4.6807561	1.1816306	NBPF3	neuroblastoma breakpoint family member 3
A_24_P941459	0.001337	2.00E-06	4.8799312	4.6777667	2.1032494		
A_23_P358957	0.001337	2.02E-06	-4.8777775	4.6687675	-1.6473379	CAMKK2	calcium/calmodulin dependent protein kinase kinase 2
A_23_P66900	0.0013718	2.10E-06	4.8686824	4.6308003	1.0969527	CDK5RAP3	CDK5 regulatory subunit associated protein 3
A_23_P323563	0.0013811	2.16E-06	4.8624887	4.6049775	2.2212883	PLEKHG2	pleckstrin homology and RhoGEF domain containing G2
A_23_P103511	0.0013811	2.20E-06	4.85872	4.5892775	2.5661795	C1orf226	chromosome 1 open reading frame 226
A_24_P235429	0.0013811	2.25E-06	4.8539152	4.569276	2.5180892	ABCA1	ATP binding cassette subfamily A member 1
A_24_P373312	0.0013811	2.27E-06	4.8524443	4.5631559	1.171924	NFATC3	nuclear factor of activated T-cells 3
A_23_P411113	0.0013811	2.29E-06	-4.8505215	4.5551577	-1.3686476	CNTNAP1	contactin associated protein 1
A_23_P320553	0.0014159	2.39E-06	-4.8411345	4.5161486	-1.311521	PPFIA3	PTPRF interacting protein alpha 3
A_23_P203283	0.0014159	2.41E-06	4.8387095	4.5060808	1.3541545	QSER1	glutamine and serine rich 1
A_32_P100464	0.0014582	2.53E-06	-4.8283698	4.4631998	-1.6185129	TGFBR3L	transforming growth factor beta receptor 3 like
A_24_P332739	0.0014582	2.58E-06	4.8241265	4.4456232	1.6007907	GUSBP1	"glucuronidase, beta pseudogene 1"
A_23_P89973	0.0014582	2.61E-06	-4.821435	4.4344809	-1.0826623	BRSK1	BR serine/threonine kinase 1
A_23_P171117	0.0014582	2.63E-06	4.8200384	4.4287013	1.3938795	MORC4	MORC family CW-type zinc finger 4
A_23_P151267	0.0014609	2.69E-06	4.8149366	4.4075995	2.1590315	LIMA1	LIM domain and actin binding 1
A_23_P31224	0.0014609	2.73E-06	4.8113364	4.3927192	1.362381	PILRA	paired immunoglobin like type 2 receptor alpha
A_32_P3602	0.0014609	2.74E-06	4.8108823	4.3908434	1.305442	USP3	ubiquitin specific peptidase 3
A_32_P159612	0.0014727	2.80E-06	-4.8062701	4.3717949	-1.276849	ASIC2	acid sensing ion channel subunit 2
A_23_P307400	0.0014811	2.87E-06	4.8003577	4.3473983	1.3860325	CEP95	centrosomal protein 95
